### DATA:
#
# 1150
#      Q             I(Q)           Error     
6.43264042E-03  6.61303162E+02  4.98993349E+00
6.82249742E-03  6.01192505E+02  4.02475500E+00
7.21235441E-03  5.48836487E+02  3.42600322E+00
7.60221141E-03  5.07760986E+02  2.96947289E+00
7.99206840E-03  4.65043640E+02  2.67507958E+00
8.38192540E-03  4.29870239E+02  2.44123411E+00
8.77178240E-03  3.97028564E+02  2.23598099E+00
9.16163939E-03  3.66748291E+02  2.06356859E+00
9.55149639E-03  3.40099060E+02  1.90785611E+00
9.94135338E-03  3.21508301E+02  1.77489746E+00
1.03312104E-02  3.01093994E+02  1.65684068E+00
1.07210674E-02  2.81309937E+02  1.54698980E+00
1.11109244E-02  2.60076233E+02  1.44587386E+00
1.15007814E-02  2.46950653E+02  1.37284684E+00
1.18906384E-02  2.33937622E+02  1.29508126E+00
1.22804954E-02  2.20474548E+02  1.22540271E+00
1.26703523E-02  2.08859940E+02  1.16299033E+00
1.30602093E-02  1.98827271E+02  1.11168504E+00
1.34500663E-02  1.89601822E+02  1.06379867E+00
1.38399233E-02  1.78986084E+02  1.01539874E+00
1.42297803E-02  1.70208710E+02  9.69935596E-01
1.46196373E-02  1.61476242E+02  9.32777345E-01
1.50094943E-02  1.54186234E+02  8.94824564E-01
1.53993513E-02  1.47863846E+02  8.63195777E-01
1.57892083E-02  1.42029510E+02  8.31257284E-01
1.61790653E-02  1.35593033E+02  8.02068233E-01
1.65689223E-02  1.29045715E+02  7.74232328E-01
1.69587793E-02  1.22477768E+02  7.47388303E-01
1.73486363E-02  1.18786255E+02  7.28836179E-01
1.77384933E-02  1.13268158E+02  7.00828910E-01
1.81283503E-02  1.07233482E+02  6.80009902E-01
1.85182073E-02  1.04163452E+02  6.62779391E-01
1.89080643E-02  9.97425232E+01  6.42301559E-01
1.92979213E-02  9.57458420E+01  6.23469055E-01
1.96877783E-02  9.11463928E+01  6.07107937E-01
2.00776353E-02  8.74362106E+01  5.90576947E-01
2.04674923E-02  8.47077255E+01  5.76708257E-01
2.08573493E-02  8.10118866E+01  5.63652217E-01
2.12472062E-02  7.84299774E+01  5.47164559E-01
2.16370632E-02  7.53290253E+01  5.33351719E-01
