时间,微压差
0.05,1
0.16,2
0.25,2
0.36,0
0.45,1
0.67,2
0.74,1
0.84,0
0.89,0
1,2
1.05,2
1.16,1
1.27,0
1.36,0
1.42,1
1.47,2
1.52,2
1.58,2
1.69,0
1.74,0
1.84,2
1.94,2
2,2
2.11,1
2.16,0
2.27,1
2.38,2
2.47,1
2.53,1
2.58,0
2.69,0
2.74,1
2.8,2
2.89,2
3,0
3.11,0
3.16,2
3.27,2
3.38,1
3.49,0
3.58,1
3.64,2
3.74,2
3.8,1
3.91,0
4,0
4.06,1
4.11,2
4.2,2
4.27,1
4.36,0
4.47,0
4.53,2
4.64,2
4.69,1
4.8,0
4.89,1
4.95,2
5.06,2
5.11,1
5.17,1
5.27,0
5.38,1
5.47,2
5.53,2
5.64,0
5.69,0
5.8,0
5.89,2
5.95,2
6.06,1
6.11,0
6.22,1
6.31,2
6.38,2
6.47,1
6.53,0
6.63,0
6.69,1
6.8,2
6.89,1
6.94,0
7,0
7.06,0
7.11,0
7.17,1
7.27,2
7.33,2
7.42,0
7.52,1
7.58,2
7.64,2
7.69,2
7.75,2
7.84,1
7.95,0
8.05,2
8.11,2
8.16,2
8.27,0
8.38,0
8.47,1
8.53,2
8.58,2
8.64,2
8.74,0
8.8,0
8.89,1
8.95,2
9,2
9.05,2
9.11,2
9.16,0
9.22,0
9.31,1
9.38,2
9.49,2
9.59,0
9.64,0
9.75,0
9.8,1
9.91,2
10.02,1
10.11,0
10.16,1
10.22,2
10.33,2
10.38,2
10.49,1
10.58,0
10.64,1
10.74,2
10.8,2
10.91,0
11,0
11.06,0
11.17,2
11.22,2
11.33,1
11.38,0
11.44,0
11.49,1
11.58,2
11.64,2
11.75,1
11.8,1
11.89,0
11.95,1
12,2
12.05,2
12.11,2
12.16,1
12.28,0
12.33,0
12.38,1
12.44,1
12.49,2
12.59,2
12.64,1
12.7,0
12.75,0
12.8,1
12.86,1
12.91,1
13.02,2
13.09,0
13.14,0
13.25,0
13.3,1
13.41,2
13.52,1
13.61,0
13.67,0
13.72,2
13.83,2
13.88,2
13.99,1
14.09,0
14.14,1
14.24,2
14.3,2
14.41,1
14.5,1
14.56,1
14.67,2
14.72,2
14.83,1
14.88,0
14.99,1
15.05,1
15.14,2
15.2,2
15.3,1
15.36,0
15.41,0
15.5,2
15.56,2
15.66,1
15.72,0
15.83,0
15.88,0
16,2
16.09,2
16.14,1
16.19,0
16.25,0
16.3,1
16.41,2
16.52,2
16.61,1
16.67,0
16.78,1
16.88,2
16.94,2
17.03,0
17.09,0
17.14,0
17.19,0
17.25,2
17.3,2
17.36,2
17.41,2
17.5,0
17.58,0
17.63,1
17.74,2
17.84,2
17.89,1
17.94,1
18,0
18.05,0
18.14,2
18.19,2
18.25,2
18.3,1
18.36,0
18.41,0
18.52,1
18.63,2
18.72,1
18.78,1
18.88,0
18.94,1
19.05,2
19.14,2
19.2,1
19.25,0
19.3,0
19.36,1
19.41,1
19.52,2
19.63,1
19.74,0
19.83,1
19.89,2
19.94,2
20.05,1
20.14,0
20.2,0
20.25,1
20.3,2
20.36,2
20.41,2
20.52,1
20.63,0
20.72,2
20.78,2
20.89,1
20.94,1
21.05,0
21.14,1
21.2,2
21.25,2
21.31,2
21.36,1
21.41,0
21.47,0
21.52,0
21.63,2
21.74,2
21.83,1
21.89,0
21.94,0
22,1
22.05,2
22.11,3
22.16,2
22.27,0
22.38,0
22.47,1
22.53,2
22.64,2
22.74,0
22.8,0
22.89,2
22.95,2
23,2
23.05,2
23.16,1
23.25,0
23.31,1
23.36,2
23.42,2
23.53,1
23.64,0
23.69,0
23.8,2
23.89,2
23.95,1
24,1
24.05,0
24.11,0
24.16,1
24.27,2
24.36,2
24.42,1
24.53,0
24.64,1
24.69,2
24.8,2
24.89,1
24.95,0
25,0
25.05,1
25.11,2
25.16,2
25.25,1
25.31,1
25.36,0
25.41,0
25.49,1
25.58,2
25.64,2
25.69,2
25.8,0
25.91,1
26,2
26.05,2
26.11,1
26.16,1
26.22,1
26.27,0
26.38,1
26.47,2
26.53,2
26.64,0
26.69,0
26.8,1
26.89,2
26.95,2
27,2
27.06,1
27.11,0
27.16,0
27.22,1
27.27,2
27.36,2
27.42,1
27.53,0
27.63,0
27.75,2
27.8,2
27.89,1
27.95,0
28,0
28.05,1
28.11,2
28.16,2
28.22,2
28.27,2
28.38,1
28.47,1
28.53,1
28.64,2
28.69,2
28.8,1
28.89,0
28.95,1
29,2
29.06,2
29.11,2
29.16,1
29.22,1
29.27,0
29.33,0
29.41,1
29.5,2
29.56,2
29.61,1
29.67,0
29.77,0
29.83,1
29.88,1
29.94,2
30.03,2
30.09,1
30.14,0
30.19,0
30.25,1
30.3,2
30.41,2
30.52,1
30.61,0
30.67,0
30.77,2
30.83,2
30.88,1
30.99,0
31.09,0
31.14,1
31.2,2
31.25,2
31.3,2
31.41,0
31.5,0
31.56,1
31.61,2
31.66,2
31.72,2
31.77,2
31.83,1
31.88,0
31.99,1
32.08,2
32.14,2
32.25,1
32.34,0
32.41,0
32.5,2
32.56,2
32.66,1
32.72,0
32.77,0
32.88,2
32.99,2
33.08,1
33.14,1
33.24,0
33.3,1
33.41,2
33.5,1
33.56,0
33.66,0
33.72,0
33.77,1
33.83,2
33.88,2
33.99,1
34.09,0
34.19,2
34.25,2
34.34,2
34.41,1
34.5,0
34.56,0
34.66,2
34.72,2
34.77,2
34.83,1
34.88,0
35,0
35.08,2
35.14,2
35.25,1
35.34,0
35.41,0
35.5,2
35.56,2
35.67,2
35.77,0
35.83,0
35.88,1
35.94,2
35.99,2
36.05,2
36.14,1
36.2,0
36.31,0
36.41,2
36.47,2
36.52,2
36.63,0
36.72,1
36.77,2
36.83,2
36.88,2
36.94,2
36.99,2
37.08,0
37.14,0
37.25,2
37.34,2
37.41,1
37.47,0
37.52,0
37.63,1
37.74,2
37.83,2
37.89,1
37.99,0
38.09,2
38.2,2
38.3,1
38.42,0
38.52,1
38.61,2
38.67,2
38.74,1
38.83,0
38.88,0
38.94,1
38.99,2
39.05,2
39.14,1
39.2,1
39.31,1
39.41,2
39.47,2
39.52,2
39.63,1
39.72,0
39.78,1
39.89,2
39.99,1
40.05,1
40.14,0
40.2,1
40.31,2
40.41,2
40.47,1
40.52,0
40.63,1
40.74,2
40.83,2
40.89,1
41,0
41.09,1
41.16,2
41.25,2
41.31,1
41.41,0
41.47,0
41.53,1
41.63,2
41.74,1
41.83,0
41.89,0
41.99,2
42.05,2
42.14,2
42.2,1
42.31,0
42.41,1
42.47,2
42.52,2
42.58,2
42.63,1
42.74,0
42.84,1
42.94,2
43,2
43.11,0
43.2,1
43.27,1
43.38,2
43.47,1
43.53,1
43.63,0
43.69,1
43.74,2
43.84,2
43.95,1
44.05,0
44.11,1
44.22,2
44.27,2
44.38,1
44.47,0
44.52,1
44.58,2
44.63,3
44.69,3
44.74,2
44.83,0
44.89,0
44.99,2
45.06,2
45.16,2
45.25,0
45.33,0
45.42,1
45.49,2
45.56,2
45.63,1
45.69,1
45.75,0
45.84,1
45.95,2
46.05,2
46.16,0
46.25,1
46.31,1
46.42,2
46.53,0
46.63,0
46.69,0
46.74,1
46.83,2
46.89,2
47,0
47.11,1
47.2,3
47.27,3
47.36,2
47.42,1
47.53,0
47.63,2
47.69,2
47.74,2
47.8,1
47.89,0
47.95,0
48.05,2
48.11,3
48.2,2
48.27,1
48.38,1
48.47,2
48.53,3
48.64,2
48.74,0
48.8,0
48.89,2
48.95,2
49.06,2
49.16,0
49.22,0
49.27,0
49.33,1
49.38,2
49.49,2
49.58,0
49.64,0
49.75,1
49.84,2
49.91,2
50.02,0
50.11,-1
50.22,1
50.27,1
50.38,-1
50.49,-3
50.58,-2
50.64,-2
50.75,-2
50.84,-4
50.95,-6
51.06,-6
51.16,-7
51.22,-8
51.27,-10
51.33,-12
51.38,-14
51.47,-15
51.53,-16
51.64,-19
51.74,-24
51.8,-26
51.86,-26
51.95,-29
52.02,-30
52.13,-36
52.22,-42
52.27,-44
52.38,-46
52.47,-48
52.53,-52
52.59,-55
52.7,-60
52.8,-63
52.86,-65
52.95,-70
53.02,-74
53.11,-76
53.22,-80
53.27,-81
53.38,-86
53.47,-92
53.53,-95
53.59,-96
53.69,-99
53.75,-99
53.86,-105
53.97,-111
54.02,-113
54.11,-116
54.17,-117
54.27,-123
54.33,-126
54.38,-129
54.44,-129
54.49,-130
54.59,-133
54.69,-138
54.74,-141
54.8,-144
54.91,-147
54.97,-148
55.02,-150
55.13,-152
55.22,-156
55.28,-158
55.38,-158
55.44,-159
55.49,-160
55.59,-164
55.7,-165
55.8,-166
55.86,-167
55.95,-169
56.03,-171
56.09,-173
56.2,-175
56.3,-176
56.36,-177
56.45,-181
56.52,-183
56.63,-184
56.72,-184
56.77,-185
56.83,-187
56.88,-189
56.99,-192
57.09,-193
57.19,-194
57.25,-196
57.36,-199
57.47,-201
57.52,-170
57.63,-57
57.72,-66
57.78,-70
57.89,-74
57.99,-76
58.05,-77
58.16,-82
58.25,-87
58.31,-89
58.41,-91
58.52,-94
58.58,-97
58.63,-97
58.74,-101
58.84,-103
58.94,-105
59,-107
59.09,-112
59.16,-113
59.25,-115
59.31,-115
59.42,-118
59.52,-122
59.63,-125
59.72,-126
59.78,-127
59.88,-132
59.94,-132
59.99,-134
60.05,-135
60.14,-136
60.2,-137
60.3,-141
60.36,-143
60.49,-146
60.55,-146
60.64,-148
60.7,-150
60.81,-154
60.91,-156
60.97,-156
61.02,-157
61.13,-159
61.22,-163
61.28,-165
61.38,-166
61.44,-167
61.49,-167
61.59,-170
61.7,-174
61.8,-175
61.86,-175
61.92,-176
62.02,-180
62.13,-184
62.22,-184
62.28,-185
62.38,-186
62.44,-188
62.5,-190
62.59,-194
62.7,-194
62.8,-197
62.86,-197
62.92,-198
63.03,-178
63.13,-58
63.19,-61
63.24,-65
63.3,-68
63.38,-75
63.44,-78
63.5,-78
63.61,-81
63.7,-84
63.77,-87
63.86,-92
63.92,-94
64.03,-96
64.13,-98
64.19,-100
64.28,-105
64.34,-107
64.44,-109
64.5,-109
64.61,-113
64.72,-118
64.81,-119
64.92,-120
65.03,-124
65.13,-128
65.19,-130
65.3,-131
65.39,-133
65.45,-133
65.55,-138
65.61,-140
65.7,-142
65.77,-142
65.86,-145
65.95,-148
66.05,-151
66.11,-152
66.22,-153
66.31,-157
66.42,-159
66.52,-162
66.58,-163
66.69,-164
66.78,-168
66.84,-170
66.95,-173
67.05,-173
67.11,-173
67.22,-176
67.31,-181
67.38,-182
67.47,-183
67.53,-184
67.63,-187
67.69,-190
67.78,-191
67.84,-192
67.94,-193
68,-194
68.11,-198
68.2,-202
68.27,-107
68.38,-53
68.47,-64
68.53,-68
68.63,-75
68.69,-77
68.8,-80
68.89,-84
68.95,-87
69.06,-90
69.14,-93
69.24,-95
69.3,-97
69.39,-100
69.45,-102
69.56,-106
69.66,-107
69.72,-108
69.81,-113
69.88,-115
69.99,-117
70.08,-118
70.19,-120
70.3,-125
70.39,-129
70.45,-129
70.55,-131
70.61,-133
70.72,-135
70.81,-139
70.92,-140
70.99,-141
71.09,-144
71.19,-149
71.25,-150
71.36,-151
71.44,-152
71.5,-153
71.61,-158
71.72,-160
71.83,-161
71.92,-162
71.99,-164
72.09,-168
72.19,-170
72.27,-171
72.34,-171
72.41,-175
72.5,-179
72.56,-179
72.67,-180
72.77,-181
72.83,-183
72.94,-187
73.03,-189
73.09,-189
73.19,-191
73.25,-191
73.34,-195
73.47,-198
73.56,-198
73.63,-200
73.72,-96
73.78,-59
73.89,-66
73.99,-71
74.05,-73
74.13,-79
74.2,-82
74.3,-87
74.36,-87
74.47,-90
74.56,-92
74.63,-95
74.72,-100
74.78,-101
74.89,-102
74.99,-106
75.09,-111
75.19,-112
75.25,-113
75.34,-114
75.41,-117
75.5,-121
75.56,-123
75.67,-124
75.77,-126
75.83,-126
75.94,-131
76.03,-134
76.09,-135
76.19,-136
76.25,-138
76.36,-143
76.52,-146
76.61,-147
76.67,-148
76.78,-152
76.88,-156
76.99,-157
77.08,-159
77.14,-159
77.25,-163
77.34,-166
77.41,-166
77.52,-167
77.61,-172
77.67,-174
77.78,-175
77.88,-176
77.94,-177
78.03,-180
78.09,-182
78.2,-185
78.31,-186
78.41,-187
78.47,-188
78.58,-193
78.67,-195
78.74,-195
78.84,-197
78.94,-201
79.05,-57
79.16,-64
79.25,-69
79.31,-72
79.42,-79
79.52,-84
79.58,-84
79.67,-87
79.74,-87
79.84,-93
79.94,-98
80,-99
80.09,-101
80.16,-102
80.25,-107
80.31,-110
80.42,-111
80.52,-112
80.58,-113
80.67,-117
80.74,-119
80.84,-122
80.94,-123
81,-124
81.09,-126
81.16,-129
81.27,-132
81.36,-133
81.42,-134
81.53,-138
81.63,-142
81.72,-143
81.78,-143
81.95,-147
82.02,-149
82.13,-152
82.24,-154
82.33,-155
82.39,-158
82.49,-162
82.55,-163
82.61,-163
82.7,-164
82.77,-165
82.88,-169
82.97,-172
83.03,-173
83.13,-174
83.19,-175
83.3,-177
83.39,-181
83.45,-182
83.55,-183
83.61,-184
83.7,-187
83.77,-189
83.88,-192
83.97,-192
84.03,-193
84.13,-195
84.22,-200
84.28,-201
84.39,-125
84.47,-56
84.58,-66
84.64,-70
84.74,-76
84.83,-79
84.89,-79
85,-83
85.09,-88
85.16,-91
85.25,-93
85.31,-94
85.41,-97
85.47,-100
85.53,-102
85.63,-104
85.69,-104
85.8,-106
85.89,-110
85.95,-112
86.05,-115
86.11,-116
86.22,-116
86.31,-119
86.38,-121
86.49,-125
86.58,-126
86.64,-127
86.74,-130
86.8,-132
86.89,-134
86.95,-135
87.05,-136
87.16,-138
87.27,-143
87.45,-146
87.55,-148
87.61,-149
87.72,-154
87.81,-155
87.88,-156
87.97,-157
88.03,-158
88.14,-162
88.24,-165
88.3,-166
88.39,-167
88.5,-169
88.61,-173
88.7,-176
88.77,-176
88.86,-177
88.92,-179
88.99,-181
89.09,-185
89.19,-185
89.25,-186
89.34,-187
89.44,-192
89.5,-194
89.59,-195
89.66,-195
89.77,-196
89.83,-197
89.92,-202
90.03,-68
90.14,-76
90.24,-83
90.3,-87
90.39,-92
90.45,-92
90.56,-94
90.66,-98
90.72,-101
90.81,-106
90.88,-107
90.97,-109
91.03,-110
91.09,-110
91.19,-115
91.25,-117
91.36,-120
91.44,-121
91.52,-122
91.61,-127
91.7,-129
91.77,-130
91.88,-131
91.97,-134
92.03,-136
92.09,-138
92.19,-141
92.25,-142
92.34,-143
92.41,-143
92.52,-147
92.61,-151
92.67,-152
92.77,-153
92.83,-154
92.92,-158
92.99,-160
93.09,-162
93.19,-162
93.3,-165
93.41,-169
93.53,-172
93.59,-172
93.69,-173
93.75,-175
93.84,-179
93.91,-181
94,-181
94.06,-182
94.16,-184
94.22,-185
94.31,-189
94.38,-191
94.49,-191
94.58,-193
94.64,-193
94.75,-198
94.84,-200
94.91,-200
95,-61
95.06,-58
95.16,-68
95.22,-71
95.31,-73
95.38,-74
95.44,-76
95.55,-81
95.64,-86
95.7,-88
95.81,-90
95.91,-93
95.97,-93
96.06,-99
96.13,-100
96.22,-103
96.28,-104
96.39,-107
96.49,-112
96.59,-114
96.7,-115
96.8,-117
96.91,-122
96.97,-123
97.08,-125
97.17,-126
97.24,-126
97.33,-130
97.39,-132
97.49,-134
97.58,-135
97.64,-137
97.75,-141
97.84,-144
97.91,-144
98.08,-146
98.16,-149
98.24,-152
98.33,-154
98.39,-154
98.5,-156
98.59,-158
98.66,-160
98.75,-163
98.81,-164
98.92,-165
99.02,-169
99.14,-173
99.2,-173
99.3,-174
99.36,-175
99.45,-179
99.52,-179
99.63,-183
99.72,-183
99.78,-183
99.88,-187
99.94,-189
100.03,-192
100.09,-192
100.2,-193
100.31,-195
100.41,-199
100.52,-201
100.61,-62
100.67,-60
100.77,-69
100.83,-69
100.94,-76
101.03,-79
101.09,-80
101.2,-85
101.3,-90
101.36,-92
101.47,-92
101.56,-94
101.63,-97
