时间,微压差
0.05,3
0.11,2
0.16,2
0.22,2
0.27,1
0.38,2
0.47,3
0.53,3
0.7,2
0.77,2
0.88,3
0.97,2
1.03,2
1.08,1
1.14,2
1.19,2
1.3,3
1.39,3
1.45,2
1.5,1
1.56,1
1.61,2
1.72,4
1.77,3
1.88,2
1.97,1
2.03,2
2.08,3
2.14,3
2.23,3
2.3,2
2.39,1
2.45,1
2.56,3
2.66,3
2.72,3
2.81,1
2.88,2
2.98,3
3.08,3
3.14,3
3.23,1
3.3,1
3.41,3
3.5,3
3.56,2
3.66,1
3.72,2
3.83,3
3.92,3
3.98,3
4.03,2
4.14,1
4.19,2
4.25,3
4.34,3
4.41,3
4.5,1
4.56,1
4.61,1
4.67,3
4.77,4
4.83,3
4.92,1
4.98,1
5.09,2
5.19,4
5.25,3
5.34,1
5.41,1
5.5,3
5.56,3
5.61,4
5.67,3
5.77,2
5.83,1
5.92,2
5.98,3
6.09,3
6.19,2
6.25,1
6.36,1
6.45,3
6.52,4
6.61,2
6.67,1
6.77,2
6.83,3
6.94,3
7.03,3
7.09,1
7.19,1
7.25,3
7.36,4
7.45,2
7.52,1
7.61,1
7.67,2
7.78,4
7.88,3
7.94,1
8.03,1
8.09,3
8.14,3
8.2,4
8.25,3
8.3,3
8.36,2
8.41,1
8.52,2
8.61,3
8.67,4
8.72,3
8.78,2
8.83,1
8.88,2
8.94,2
9.03,3
9.09,4
9.14,3
9.2,2
9.25,1
9.3,1
9.36,2
9.41,3
9.52,3
9.63,3
9.72,1
9.78,1
9.83,2
9.88,3
9.94,4
10.05,2
10.14,1
10.2,2
10.25,2
10.3,3
10.36,3
10.41,3
10.47,3
10.56,1
10.63,1
10.72,3
10.78,3
10.83,3
10.89,3
10.98,1
11.05,1
11.14,3
11.2,3
11.25,4
11.31,3
11.41,1
11.47,2
11.56,2
11.63,3
11.73,3
11.83,1
11.89,1
11.98,3
12.05,3
12.16,3
12.25,2
12.31,1
12.41,2
12.47,3
12.56,3
12.63,2
12.73,1
12.83,2
12.89,3
12.98,4
13.05,3
13.16,1
13.25,2
13.31,3
13.41,3
13.47,3
13.58,1
13.63,1
13.73,3
13.84,3
13.89,3
14,1
14.05,1
14.16,2
14.25,3
