时间,微压差
38.09,-67
38.16,-69
38.27,-73
38.36,-78
38.42,-79
38.52,-82
38.58,-84
38.63,-87
38.69,-90
38.74,-93
38.84,-95
38.94,-97
39,-99
39.11,-105
39.2,-110
39.27,-112
39.36,-115
39.42,-117
39.53,-120
39.63,-126
39.69,-127
39.74,-129
39.84,-132
39.94,-137
40,-140
40.11,-143
40.27,-146
40.36,-152
40.42,-155
40.53,-159
40.63,-162
40.69,-163
40.74,-166
40.84,-169
40.95,-174
41.05,-177
41.11,-178
41.2,-183
41.27,-187
41.38,-191
41.47,-192
41.53,-193
41.63,-198
41.69,-200
41.74,-203
41.8,-205
41.89,-207
41.95,-209
42.05,-212
42.11,-214
42.22,-219
42.27,-221
42.38,-223
42.47,-228
42.53,-231
42.64,-130
42.74,-67
42.8,-75
42.89,-85
42.95,-90
43.06,-98
43.16,-104
43.22,-106
43.27,-109
43.38,-112
43.47,-120
43.53,-122
43.64,-126
43.74,-131
43.8,-134
43.89,-141
43.95,-143
44.06,-144
44.16,-148
44.22,-151
44.27,-154
44.38,-159
44.49,-162
44.58,-167
44.64,-170
44.74,-173
44.8,-176
44.91,-179
45,-182
45.06,-186
45.16,-192
45.22,-193
45.27,-195
45.33,-195
45.38,-196
45.49,-200
45.58,-207
45.64,-209
45.75,-211
45.84,-215
45.91,-218
46,-221
46.06,-224
46.17,-227
46.27,-230
46.33,-207
46.38,-78
46.49,-83
46.58,-88
46.64,-91
46.75,-98
46.84,-106
46.91,-110
47,-115
47.06,-117
47.17,-123
47.27,-126
47.33,-130
47.38,-133
47.49,-137
47.59,-141
47.72,-148
47.77,-151
47.83,-153
47.88,-155
47.94,-156
47.99,-159
48.09,-165
48.19,-170
48.25,-170
48.34,-173
48.41,-175
48.52,-181
48.61,-187
48.67,-188
48.77,-191
48.83,-193
48.88,-193
48.94,-196
48.99,-199
49.09,-205
49.19,-207
49.25,-209
49.36,-214
49.45,-220
49.52,-220
49.61,-223
49.67,-224
49.78,-229
49.88,-138
49.94,-62
49.99,-70
50.09,-79
50.2,-84
50.3,-93
50.36,-97
50.45,-102
50.52,-104
50.61,-110
50.67,-115
50.78,-121
50.88,-123
50.94,-125
50.99,-127
51.09,-133
51.2,-140
51.3,-144
51.36,-145
51.44,-148
51.49,-150
51.55,-154
51.64,-160
51.7,-161
51.8,-163
51.86,-164
51.97,-170
52.02,-173
52.13,-178
52.22,-181
52.28,-183
52.39,-189
52.49,-192
52.55,-195
52.64,-197
52.7,-199
52.81,-204
52.91,-210
52.97,-212
53.02,-213
53.13,-214
53.22,-219
53.28,-222
53.39,-227
53.49,-230
53.55,-230
53.64,-56
53.7,-66
53.81,-72
53.89,-80
53.95,-83
54.02,-87
54.13,-95
54.24,-102
54.33,-107
54.39,-107
54.49,-112
54.55,-116
54.66,-123
54.75,-127
54.81,-129
54.91,-134
54.97,-137
55.02,-137
55.08,-141
55.13,-143
55.24,-147
55.33,-151
55.39,-155
55.49,-161
55.55,-163
55.66,-166
55.75,-168
55.81,-172
55.91,-178
55.97,-180
56.02,-182
56.08,-183
56.13,-185
56.24,-190
56.33,-193
56.39,-196
56.5,-199
56.59,-202
56.66,-205
56.75,-212
56.81,-213
56.92,-216
57.02,-216
57.08,-218
57.13,-219
57.24,-221
57.34,-221
57.44,-221
57.5,-223
57.59,-224
57.66,-226
57.75,-226
57.81,-225
57.92,-226
58.02,-229
58.08,-230
58.13,-230
58.24,-229
58.34,-230
58.44,-57
58.5,-50
58.59,-58
58.66,-60
58.77,-65
58.86,-71
58.92,-71
59.02,-74
59.08,-75
59.13,-76
59.19,-77
59.24,-79
59.34,-84
59.44,-86
59.5,-86
59.59,-86
59.66,-88
59.77,-92
59.86,-95
59.92,-95
60.02,-96
60.08,-97
60.13,-99
60.19,-101
60.24,-101
60.34,-103
60.44,-103
60.5,-104
60.61,-107
