时间,微压差
0.05,2
0.11,2
0.16,1
0.22,0
0.27,0
0.38,1
0.47,2
0.66,1
0.72,0
0.77,0
0.88,2
0.99,2
1.08,0
1.14,0
1.19,0
1.24,0
1.3,2
1.41,2
1.5,0
1.56,0
1.61,0
1.72,1
1.77,2
1.83,2
1.92,0
1.99,0
2.08,1
2.14,1
2.24,2
2.3,1
2.41,0
2.5,0
2.56,1
2.66,2
2.72,1
2.83,0
2.92,0
2.99,1
3.08,2
3.14,1
3.25,0
3.34,0
3.41,1
3.5,2
3.56,2
3.67,0
3.72,0
3.83,1
3.92,2
3.99,1
4.09,0
4.19,0
4.25,0
4.34,2
4.41,2
4.52,0
4.61,0
4.67,1
4.77,2
4.83,2
4.94,0
5.03,0
5.09,0
5.19,2
5.25,2
5.34,0
5.41,0
5.52,0
5.61,2
5.67,2
5.77,0
5.83,0
5.94,0
6.03,2
6.09,2
6.19,1
6.25,0
6.36,0
6.45,2
6.52,2
6.61,0
6.67,0
6.78,0
6.88,1
6.94,2
7.03,1
7.09,0
7.2,0
7.3,2
7.36,2
7.45,1
7.52,0
7.63,0
7.72,1
7.78,2
7.88,1
7.94,0
8.05,0
8.14,1
8.2,2
8.25,2
8.3,1
8.36,0
8.41,0
8.47,0
8.56,1
8.63,2
8.72,1
8.78,1
8.83,0
8.89,0
8.99,1
9.05,1
9.14,1
9.2,0
9.25,0
9.3,0
9.36,0
9.41,0
9.47,2
9.56,2
9.63,1
9.72,0
9.78,0
9.83,1
9.89,2
9.99,2
10.05,1
10.14,0
10.2,0
10.25,0
10.31,2
10.41,2
10.47,1
10.56,0
10.63,0
10.74,1
10.83,2
10.89,1
10.99,0
11.05,0
11.16,1
11.25,1
11.31,1
11.41,0
11.47,0
11.58,1
11.63,2
11.74,1
11.83,0
11.89,0
11.99,1
12.05,1
12.16,1
12.25,0
12.31,0
12.41,1
12.47,2
12.58,2
12.63,1
12.74,0
12.83,1
12.89,1
13,2
13.05,1
13.16,-1
13.25,0
13.31,1
13.42,2
13.47,1
13.58,0
13.63,0
13.74,2
13.84,2
13.89,2
14,0
14.05,0
14.16,1
14.25,2
14.31,1
14.42,0
14.47,0
14.58,1
14.63,2
14.74,2
14.84,0
14.89,0
15,1
15.05,2
15.16,2
15.27,0
15.36,0
15.42,1
15.47,1
15.58,1
15.63,1
15.69,0
15.74,0
15.84,0
15.89,1
16,2
16.05,1
16.11,0
16.16,-1
16.27,1
16.36,2
16.42,1
16.52,0
16.58,0
16.63,0
16.69,0
16.78,2
16.84,2
16.89,1
16.94,0
17,-1
17.05,0
17.11,0
17.16,1
17.27,2
17.36,0
17.42,0
17.53,0
17.63,2
17.69,2
17.78,1
17.84,0
17.89,-1
17.95,0
18,1
18.05,2
18.11,2
18.16,1
18.27,0
18.38,0
18.47,1
18.53,2
18.63,1
18.69,0
18.8,0
18.89,2
18.95,2
19,1
19.05,1
19.11,0
19.16,0
19.27,0
19.38,2
19.47,1
19.53,0
19.63,0
19.69,1
19.8,2
19.89,1
19.95,0
20,0
20.05,0
20.11,0
20.16,1
20.22,2
20.27,1
20.38,1
20.47,0
20.53,0
20.64,2
20.69,2
20.8,0
20.89,0
20.95,0
21,0
21.06,1
21.11,2
21.16,1
21.22,1
21.27,0
21.38,0
21.49,2
21.58,1
21.64,1
21.69,0
21.8,0
