时间,微压差
0.06,0
0.11,-1
0.17,-1
0.27,0
0.33,1
0.42,1
0.49,1
0.59,-1
0.64,-1
0.75,1
0.8,1
0.91,0
1,-1
1.06,-1
1.11,-1
1.17,0
1.22,1
1.27,1
1.33,1
1.42,-1
1.49,-1
1.59,0
1.69,1
1.75,1
1.8,0
1.91,-1
2.02,0
2.11,1
2.17,1
2.22,0
2.33,-1
2.44,0
2.49,0
2.59,1
2.64,1
2.75,-1
2.86,0
2.91,0
3.02,1
3.11,0
3.17,0
3.22,-1
3.28,-1
3.33,0
3.44,1
3.49,1
3.59,-1
3.64,-1
3.7,-1
3.8,0
3.86,1
3.91,1
4.02,0
4.13,-1
4.22,0
4.28,1
4.38,1
4.44,1
4.55,-1
4.64,0
4.7,1
4.8,1
4.86,0
4.97,0
5.06,-1
5.13,0
5.22,1
5.28,1
5.39,-1
5.44,-1
5.55,0
5.64,1
5.7,1
5.8,0
5.86,-1
5.97,0
6.06,1
6.13,1
6.22,0
6.28,0
6.39,-1
6.44,0
6.55,1
6.64,0
6.7,-1
6.81,-1
6.86,0
6.97,1
7.06,0
7.13,0
7.24,-1
7.33,1
7.39,1
7.44,1
7.55,0
7.66,-1
7.75,0
7.81,1
7.86,1
7.97,0
8.08,-1
8.13,0
8.24,0
8.33,1
8.39,1
8.5,-1
8.55,-1
8.66,1
8.75,1
8.81,0
8.91,0
8.97,-1
9.08,0
9.13,1
9.24,1
9.33,0
9.39,0
9.5,0
9.55,1
9.66,2
9.75,0
9.81,0
9.92,1
9.97,2
10.08,2
10.13,2
10.24,1
10.34,0
10.39,2
10.5,3
10.55,2
10.66,1
10.77,1
10.86,2
10.92,3
10.97,3
11.08,2
11.13,1
11.19,1
11.24,2
11.34,4
11.39,3
11.5,3
11.55,2
11.61,2
11.66,2
11.77,3
11.86,4
11.92,3
11.97,2
12.08,2
12.13,3
12.19,3
12.24,5
12.34,4
12.39,3
12.5,3
12.55,3
12.61,4
12.66,5
12.77,5
12.86,4
12.92,3
12.97,3
13.03,4
13.08,5
13.13,6
13.19,5
13.24,5
13.34,4
13.39,4
13.45,4
13.5,5
13.55,6
13.61,6
13.66,5
13.77,4
13.88,4
13.97,6
14.03,6
14.08,6
14.13,5
14.19,4
14.24,4
14.3,4
14.39,6
14.45,7
14.5,6
14.55,6
14.61,5
14.66,5
14.72,5
14.81,6
14.88,7
14.97,7
15.03,6
15.08,5
15.14,5
15.24,7
15.3,7
15.39,8
15.45,7
15.5,6
15.56,6
15.66,7
15.72,8
15.81,8
15.88,7
15.97,7
16.03,6
16.14,8
16.19,9
16.3,8
16.39,7
16.45,6
16.5,7
16.56,8
16.61,8
16.66,9
16.72,9
16.77,8
16.88,7
16.99,8
17.08,10
17.14,9
17.19,9
17.3,8
17.41,8
17.5,10
17.56,10
17.61,9
17.66,9
17.72,8
17.77,8
17.83,8
17.88,10
17.99,10
18.08,10
18.14,9
18.19,8
18.25,9
18.3,9
18.41,11
18.5,10
18.56,10
18.61,9
18.67,9
18.77,10
18.83,11
18.88,11
18.99,10
19.08,9
19.14,10
19.19,10
19.25,11
19.3,11
19.41,11
19.5,9
19.56,10
19.61,10
19.67,11
19.77,11
19.83,11
19.88,11
19.99,10
20.09,11
20.14,12
20.19,12
20.25,12
20.3,11
20.41,10
20.52,11
20.61,13
20.67,13
20.77,11
20.83,11
20.88,11
20.94,12
21.03,13
21.09,13
21.14,13
21.19,12
21.25,11
21.3,11
21.36,11
21.41,12
21.52,13
21.61,12
21.67,11
21.78,11
21.88,13
21.94,14
22.03,13
22.09,13
22.14,12
22.19,12
22.25,13
22.3,14
22.36,14
22.41,14
22.52,13
22.61,12
22.67,12
22.78,14
22.88,14
22.94,13
23.03,12
23.09,12
23.14,13
23.2,14
23.25,15
23.3,15
23.36,14
23.41,13
23.52,13
23.63,15
23.72,15
23.78,15
23.88,14
23.94,13
24.05,15
24.14,16
24.2,15
24.25,14
24.3,14
24.36,14
24.41,14
24.47,15
24.52,15
24.63,16
24.72,14
24.78,14
24.89,15
24.94,16
25.05,16
25.14,15
25.2,14
25.25,14
25.3,15
25.36,15
25.41,16
25.47,16
25.52,16
25.63,14
25.72,14
25.78,15
25.89,17
25.94,16
26.05,15
26.14,15
26.2,16
26.25,14
26.31,14
26.36,1
26.41,1
26.47,0
26.52,-1
26.58,-1
26.63,-1
26.74,1
26.83,0
26.89,0
26.94,-1
27.05,-1
27.16,1
27.25,1
27.31,0
27.36,-1
27.41,-1
27.47,-1
27.52,0
27.58,1
27.63,1
27.74,1
27.83,-1
27.89,-1
27.94,-1
28,0
28.05,1
28.16,1
28.25,-1
28.31,-1
28.36,-1
28.42,0
28.52,1
28.58,1
28.63,0
28.74,-1
28.83,0
28.89,1
28.94,1
29,1
29.05,1
29.16,-1
29.25,0
29.31,0
29.36,1
29.42,1
29.52,0
29.58,0
29.63,-1
29.74,0
29.84,1
29.89,1
29.94,0
30,-1
30.05,-1
30.16,0
30.27,1
30.36,1
30.42,0
30.52,-1
30.58,0
30.63,0
30.69,1
30.78,0
30.84,0
30.89,-1
30.94,-1
31,-1
31.05,0
31.11,1
31.16,1
31.27,0
31.36,-1
31.42,0
31.53,0
31.63,1
31.69,1
31.78,-1
31.84,-1
31.89,0
31.94,0
32,1
32.11,0
32.2,0
32.27,-1
32.36,0
32.42,1
32.53,1
32.63,-1
32.69,-1
32.74,-1
32.84,0
32.95,1
33.05,0
33.11,-1
33.2,0
33.27,1
33.38,1
33.47,0
33.53,-1
33.63,-1
33.69,0
33.74,1
33.8,1
33.89,0
33.95,-1
34.05,-1
34.11,-1
34.22,1
34.27,1
34.38,0
34.47,-1
34.53,0
34.64,1
34.74,1
34.8,0
34.89,-1
34.95,0
35.06,1
35.16,1
35.22,0
35.27,-1
35.38,-1
35.49,0
35.58,1
35.64,0
35.74,-1
35.8,-1
35.91,1
36,1
36.06,1
36.16,-1
36.22,-1
36.27,-1
36.38,1
36.49,1
36.58,-1
36.64,-1
36.74,0
36.8,0
36.91,1
37,0
37.06,-1
37.16,0
37.22,1
37.27,1
37.33,1
37.38,1
37.49,-1
37.58,0
37.64,0
37.74,1
37.8,1
37.91,-1
38,-1
38.06,0
38.16,1
38.22,1
38.27,0
38.33,-1
38.38,-1
38.49,0
38.58,1
38.64,1
38.75,0
38.84,-1
38.91,0
39,1
39.06,1
39.17,0
39.27,-1
39.33,-1
39.38,0
39.49,1
39.59,0
39.69,-1
39.75,-1
39.84,1
39.91,1
40.02,1
40.11,-1
40.17,-1
40.27,1
40.33,1
40.38,1
40.44,0
40.49,0
40.59,-1
40.69,0
40.75,1
40.86,1
40.95,-1
41.02,-1
41.11,0
41.17,1
41.28,1
41.38,0
41.44,-1
41.49,-1
41.59,0
41.7,1
41.8,-1
41.86,-1
41.95,-1
42.02,0
42.11,1
42.17,1
42.28,-1
42.38,-1
42.44,0
42.49,1
42.59,1
42.7,0
42.8,-1
42.86,0
42.95,1
43.02,1
43.13,-1
43.22,-1
43.28,-1
43.38,1
43.44,1
43.49,1
43.55,0
43.64,-1
43.7,0
43.8,0
43.86,1
43.97,1
44.02,0
44.13,-1
44.22,1
44.28,1
44.39,0
44.49,-1
44.55,-1
44.64,0
44.7,1
44.81,1
44.91,-1
44.97,-1
45.02,0
45.13,1
45.24,1
45.33,0
45.39,-1
45.49,0
45.55,1
45.64,1
45.7,0
45.81,-1
45.91,0
45.97,0
46.02,1
46.13,1
46.24,-1
46.33,0
46.39,0
46.5,1
46.59,0
46.66,-1
46.75,-1
46.81,0
46.91,1
46.97,1
47.02,0
47.08,0
47.13,-1
47.24,0
47.33,1
47.39,1
47.5,-1
47.59,-1
47.66,0
47.75,1
47.81,1
47.92,0
48.02,-1
