"time","temper","val"
16,24,0.0207
1000,24,0.0233
2000,24,0.0292
3000,24,0.0332
4000,24,0.0286
5016,24,0.0244
6000,24,0.0378
7000,24,0.0438
8016,24,0.0377
9016,24,0.0340
10000,24,0.0357
11016,24,0.0392
12000,24,0.0414
13016,24,0.0404
14016,24,0.0332
15016,24,0.0299
16016,24,0.0281
17000,24,0.0283
18000,24,0.0252
19000,24,0.0292
20000,24,0.0357
21000,24,0.0308
22016,24,0.0219
23016,24,0.0204
24016,24,0.0229
25000,24,0.0243
26016,24,0.0306
27000,24,0.0397
28000,24,0.0374
29016,24,0.0374
30000,24,0.0342
31000,24,0.0291
32000,24,0.0261
33016,24,0.0287
34016,24,0.0311
35000,24,0.0343
36016,24,0.0310
37000,24,0.0231
38000,24,0.0178
39016,24,0.0273
40016,24,0.0402
41016,24,0.0537
42000,24,0.0648
43000,24,0.0719
44016,24,0.0788
45016,24,0.0873
46016,24,0.1007
47000,24,0.1119
48000,24,0.1230
49016,24,0.1294
50016,24,0.1249
51000,24,0.1270
52016,24,0.1404
53000,24,0.1482
54016,24,0.1443
55016,24,0.1852
56016,24,0.3574
57000,24,0.7310
58000,24,1.1226
59000,24,1.1425
60000,24,0.7152
61016,24,0.2197
62000,24,0.0013
63000,24,0.1177
64000,24,0.3578
65000,24,0.4562
66016,24,0.3334
67000,24,0.2092
68000,24,0.1159
69016,24,0.0079
70000,24,-0.0914
71016,24,-0.2150
72016,24,-0.4324
73016,24,-0.6446
74000,24,-0.8355
75000,24,-1.1063
76016,24,-1.4436
77000,24,-1.8835
78016,24,-2.6586
79016,24,-4.1008
80016,24,-6.8251
81000,24,-12.0248
82000,24,-21.0922
83000,24,-34.2598
84000,24,-50.8519
85000,24,-69.4686
86016,24,-87.6984
87000,24,-104.3437
88016,24,-117.9756
89016,24,-128.6059
90016,24,-136.1505
91000,24,-141.1934
92016,24,-143.8827
93016,24,-144.5515
94000,24,-143.4753
95016,24,-141.1360
96000,24,-137.9051
97000,24,-133.9738
98016,24,-129.5452
99016,24,-125.0613
100000,24,-120.5864
101000,24,-116.2278
102000,24,-112.0123
103016,24,-108.1957
104016,24,-104.6574
105000,24,-101.4457
106000,24,-98.4872
107000,24,-95.6845
108000,24,-93.0773
109016,24,-90.6289
110016,24,-88.3497
111000,24,-86.1453
112000,24,-84.0216
113000,24,-81.9331
114000,24,-79.9980
115016,24,-78.1610
116000,24,-76.4129
117000,24,-74.7006
118000,24,-72.9666
119000,24,-71.2676
120016,24,-69.6207
121000,24,-68.0738
122016,24,-66.5769
123000,24,-65.1561
124000,24,-63.7957
125016,24,-62.4276
126000,24,-61.1206
127000,24,-59.8085
128016,24,-58.5471
129016,24,-57.3319
130016,24,-56.1896
131000,24,-55.0827
132016,24,-54.0399
133000,24,-53.1050
134000,24,-52.1348
135000,24,-51.0765
136016,24,-49.8262
137000,24,-48.5678
138016,24,-47.2678
139016,24,-46.0344
140016,24,-44.7913
141000,24,-43.6470
142016,24,-42.5284
143000,24,-41.5054
144000,24,-40.5064
145016,24,-39.5178
146000,24,-38.5674
147000,24,-37.5624
148000,24,-36.5618
149016,24,-35.4958
150000,24,-34.4649
151000,24,-33.4709
152016,24,-32.5314
153000,24,-31.6372
154000,24,-30.7420
155000,24,-29.8641
156000,24,-28.9747
157016,24,-28.0939
158016,24,-27.1981
159016,24,-26.3112
160016,24,-25.4128
161000,24,-24.5263
162016,24,-23.6375
163000,24,-22.7613
164000,24,-21.9114
165016,24,-21.0942
166000,24,-20.3319
167000,24,-19.6126
168016,24,-18.9489
169016,24,-18.3177
170016,24,-17.7332
171000,24,-17.1901
172016,24,-16.6713
173000,24,-16.1798
174016,24,-15.7193
175016,24,-15.2919
176000,24,-14.8660
177016,24,-14.4611
178000,24,-14.0645
179016,24,-13.6792
180016,24,-13.2923
181000,24,-12.9150
182016,24,-12.5409
183016,24,-12.1824
184000,24,-11.8453
185000,24,-11.5286
186016,24,-11.2181
187000,24,-10.9210
188000,24,-10.6432
189000,24,-10.3671
190016,24,-10.0947
191016,24,-9.8185
192000,24,-9.5407
193000,24,-9.2541
194000,24,-8.9647
195000,24,-8.7079
196000,24,-8.4579
197016,24,-8.2307
198000,24,-8.0178
199000,24,-7.8054
200000,24,-7.5940
201000,24,-7.3855
202000,24,-7.1802
203000,24,-6.9701
204016,24,-6.7659
205016,24,-6.5668
206000,24,-6.3765
207016,24,-6.1976
208000,24,-6.0365
209016,24,-5.8754
210016,24,-5.7342
211000,24,-5.6094
212016,24,-5.4804
213016,24,-5.3471
214000,24,-5.2187
215016,24,-5.0865
216016,24,-4.9481
217016,24,-4.8157
218000,24,-4.6917
219000,24,-4.5811
220000,24,-4.4848
221000,24,-4.3957
222016,24,-4.3052
223000,24,-4.2177
224000,24,-4.1336
225000,24,-4.0556
226000,24,-3.9686
227016,24,-3.8707
228000,24,-3.7777
229000,24,-3.6960
230000,24,-3.6141
231016,24,-3.5248
232000,24,-3.4283
233000,24,-3.3331
234000,24,-3.2502
235000,24,-3.1695
236000,24,-3.0860
237016,24,-3.0162
238016,24,-2.9515
239016,24,-2.8826
240016,24,-2.8099
241000,24,-2.7534
242016,24,-2.6954
243016,24,-2.6513
244000,24,-2.5986
245016,24,-2.5348
246016,24,-2.4853
247016,24,-2.4657
248016,24,-2.4369
249016,24,-2.4000
250000,24,-2.3685
251000,24,-2.3280
252016,24,-2.2658
253016,24,-2.1806
254000,24,-2.0939
255000,24,-2.0086
256000,24,-1.9515
257000,24,-1.9228
258000,24,-1.9043
259000,24,-1.8992
260016,24,-1.8888
