"time","temper","val"
0,24,0.1122
1016,24,0.1214
2000,24,0.1134
3000,24,0.1045
4000,24,0.1051
5000,24,0.1118
6016,24,0.1104
7000,24,0.1083
8000,24,0.1081
9000,24,0.1105
10016,24,0.1119
11016,24,0.1107
12016,24,0.1088
13000,24,0.1114
14000,24,0.1105
15000,24,0.1041
16000,24,0.0952
17000,24,0.0937
18000,24,0.1002
19000,24,0.0974
20000,24,0.0971
21016,24,0.0966
22000,24,0.0963
23000,24,0.0942
24000,24,0.0873
25000,24,0.0827
26016,24,0.0912
27016,24,0.1000
28000,24,0.1074
29016,24,0.1031
30000,24,0.0961
31016,24,0.0899
32016,24,0.0859
33000,24,0.0872
34016,24,0.0836
35016,24,0.0853
36016,24,0.0910
37000,24,0.0976
38000,24,0.0970
39016,24,0.0971
40016,24,0.0965
41000,24,0.0922
42000,24,0.0905
43016,24,0.0899
44000,24,0.0930
45016,24,0.0935
46016,24,0.0972
47016,24,0.0990
48016,24,0.0972
49016,24,0.0966
50000,24,0.0993
51000,24,0.0949
52000,24,0.0831
53000,24,0.0825
54000,24,0.0857
55000,24,0.0821
56000,24,0.0797
57000,24,0.0777
58016,24,0.0736
59000,24,0.0739
60016,24,0.0705
61000,24,0.0739
62000,24,0.0716
63016,24,0.0713
64016,24,0.0678
65000,24,0.0735
66016,24,0.0787
67000,24,0.0856
68000,24,0.0870
69016,24,0.0876
70000,24,0.0853
71016,24,0.0821
72016,24,0.0806
73000,24,0.0757
74016,24,0.0772
75016,24,0.0777
76016,24,0.0760
77016,24,0.0751
78000,24,0.0750
79000,24,0.0816
80016,24,0.0875
81000,24,0.0811
82000,24,0.0842
83016,24,0.0824
84016,24,0.0820
85016,24,0.0832
86000,24,0.0848
87000,24,0.0888
88016,24,0.0939
89000,24,0.0963
90000,24,0.0896
91016,24,0.0849
92000,24,0.0798
93016,24,0.0793
94016,24,0.0750
95016,24,0.0762
96016,24,0.0764
97016,24,0.0794
98016,24,0.0802
99016,24,0.0729
100000,24,0.0733
101016,24,0.0783
102000,24,0.0787
103000,24,0.0718
104016,24,0.0753
105000,24,0.0771
106016,24,0.0734
107000,24,0.0643
108016,24,0.0655
109016,24,0.0641
110000,24,0.0604
111000,24,0.0618
112000,24,0.0561
113016,24,0.0554
114000,24,0.0596
115016,24,0.0641
116000,24,0.0737
117016,24,0.0820
118000,24,0.0814
119016,24,0.0762
120016,24,0.0825
121016,24,0.0850
122016,24,0.0869
123000,24,0.0838
124016,24,0.0853
125016,24,0.0860
126016,24,0.0902
127016,24,0.0942
128000,24,0.0986
129016,24,0.0948
130016,24,0.0868
131000,24,0.0763
132016,24,0.0722
133000,24,0.0668
134000,24,0.0633
135016,24,0.0629
136000,24,0.0635
137000,24,0.0621
138016,24,0.0638
139016,24,0.0604
140016,24,0.0615
141016,24,0.0581
142000,24,0.0581
143016,24,0.0572
144016,24,0.0674
145000,24,0.0716
146016,24,0.0675
147000,24,0.0675
148016,24,0.0706
149016,24,0.0651
150016,24,0.0598
151016,24,0.0623
152000,24,0.0696
153016,24,0.0692
154016,24,0.0653
155000,24,0.0593
156000,24,0.0596
157016,24,0.0638
158000,24,0.0625
159016,24,0.0683
160000,24,0.0708
161000,24,0.0604
162000,24,0.0497
163000,24,0.0477
164000,24,0.0497
165016,24,0.0544
166000,24,0.0557
167000,24,0.0529
168000,24,0.0484
169016,24,0.0445
170000,24,0.0528
171016,24,0.0530
172016,24,0.0567
173000,24,0.0485
174016,24,0.0461
175000,24,0.0501
176000,24,0.0462
177000,24,0.0412
178016,24,0.0433
179016,24,0.0435
180000,24,0.0447
181016,24,0.0352
182016,24,0.0332
183016,24,0.0478
184016,24,0.0566
185000,24,0.0459
186000,24,0.0423
187016,24,0.0443
188000,24,0.0470
189016,24,0.0535
190000,24,0.0559
191000,24,0.0561
192016,24,0.0475
193000,24,0.0389
194000,24,0.0339
195000,24,0.0327
196016,24,0.0419
197016,24,0.0458
198016,24,0.0518
199016,24,0.0501
200016,24,0.0523
201016,24,0.0554
202000,24,0.0497
203000,24,0.0428
204016,24,0.0384
205016,24,0.0413
206016,24,0.0461
207000,24,0.0463
208016,24,0.0441
209000,24,0.0436
210000,24,0.0339
211016,24,0.0268
212016,24,0.0240
213000,24,0.0246
214016,24,0.0316
215016,24,0.0435
216016,24,0.0537
217016,24,0.0543
218016,24,0.0593
219000,24,0.0566
220016,24,0.0441
221016,24,0.0439
222000,24,0.0447
223016,24,0.0432
224000,24,0.0368
225000,24,0.0323
226000,24,0.0341
227016,24,0.0447
228000,24,0.0393
229016,24,0.0357
