"time","temper","val"
0,24,0.0871
1016,24,-0.3579
2000,24,-1.0007
3000,24,-1.9778
4016,24,-3.3275
5016,24,-4.6821
6000,24,-5.4163
7016,24,-5.1148
8016,24,-3.9197
9016,24,-2.3362
10016,24,-0.8582
11016,24,0.3161
12000,24,1.1262
13000,24,1.6492
14000,24,1.9696
15016,24,2.1391
16016,24,2.2008
17016,24,2.1983
18016,24,2.1675
19000,24,2.1313
20000,24,2.0791
21016,24,2.0274
22016,24,1.9768
23000,24,1.9317
24000,24,1.8928
25016,24,1.8606
26016,24,1.8308
27000,24,1.7962
28000,24,1.7633
29000,24,1.7379
30016,24,1.6985
31000,24,1.6663
32000,24,1.6421
33000,24,1.6114
34000,24,1.5797
35000,24,1.5530
36016,24,1.5278
37000,24,1.5050
38016,24,1.4856
39000,24,1.4619
40016,24,1.4358
41000,24,1.4114
42000,24,1.3857
43016,24,1.3590
44000,24,1.3520
45016,24,1.3466
46000,24,1.3403
47000,24,1.3280
48000,24,1.3260
49016,24,1.3142
50000,24,1.3006
51016,24,1.2965
52016,24,1.2903
53000,24,1.2725
54000,24,1.2532
55016,24,1.2374
56016,24,1.2178
57016,24,1.2004
58000,24,1.1820
59000,24,1.1714
60016,24,1.1762
61000,24,1.1792
62016,24,1.1720
63016,24,1.1628
64000,24,1.1507
65016,24,1.1340
66016,24,1.1119
67016,24,1.0949
68000,24,1.0918
69016,24,1.0867
70016,24,1.0811
71000,24,1.0654
72000,24,1.0495
73016,24,1.0390
74000,24,1.0360
75016,24,1.0287
76000,24,1.0181
77000,24,1.0134
78016,24,1.0064
79016,24,1.0022
80000,24,1.0063
81000,24,1.0056
82000,24,0.9990
83016,24,0.9890
84000,24,0.9846
85016,24,0.9795
86000,24,0.9747
87016,24,0.9706
88016,24,0.9769
89000,24,0.9783
90000,24,0.9753
91000,24,0.9687
92016,24,0.9651
93016,24,0.9588
94000,24,0.9596
95000,24,0.9636
96016,24,0.9620
97000,24,0.9498
98000,24,0.9399
99016,24,0.9354
100000,24,0.9418
101000,24,0.9425
102016,24,0.9399
103000,24,0.9448
104016,24,0.9360
105016,24,0.9297
106016,24,0.9234
107000,24,0.9242
108000,24,0.9259
109016,24,0.9340
110000,24,0.9351
111000,24,0.9282
112000,24,0.9199
113031,24,0.9218
114000,24,0.9257
115000,24,0.9143
116016,24,0.9142
117000,24,0.9179
118000,24,0.9227
119016,24,0.9224
120000,24,0.9072
121000,24,0.8954
122000,24,0.8900
123000,24,0.8886
124016,24,0.8837
125000,24,0.8799
126016,24,0.8847
127000,24,0.8853
128000,24,0.8764
129016,24,0.8751
130016,24,0.8776
131000,24,0.8773
132000,24,0.8783
133000,24,0.8812
134000,24,0.8814
135000,24,0.8746
136000,24,0.8717
137016,24,0.8694
138000,24,0.8668
139000,24,0.8653
140016,24,0.8691
141016,24,0.8665
142000,24,0.8652
143000,24,0.8624
144000,24,0.8569
145000,24,0.8596
146016,24,0.8647
147016,24,0.8626
148000,24,0.8561
149016,24,0.8485
150000,24,0.8532
151016,24,0.8622
152000,24,0.8695
153000,24,0.8696
154000,24,0.8528
155000,24,0.8398
156016,24,0.8315
157016,24,0.8315
158000,24,0.8321
159016,24,0.8298
160016,24,0.8252
161016,24,0.8257
162000,24,0.8373
163000,24,0.8445
164000,24,0.8512
165016,24,0.8674
166000,24,0.8648
167016,24,0.8505
168000,24,0.8389
169016,24,0.8339
170016,24,0.8298
171000,24,0.8265
172000,24,0.8223
173000,24,0.8236
174016,24,0.8249
175000,24,0.8177
176000,24,0.8108
177000,24,0.8088
178016,24,0.8170
179016,24,0.8124
180000,24,0.8134
181016,24,0.8126
182000,24,0.8099
183000,24,0.8094
184016,24,0.8028
185000,24,0.7919
186016,24,0.7992
187016,24,0.8069
188000,24,0.8092
189016,24,0.8063
190000,24,0.8047
191000,24,0.8139
192000,24,0.8178
193000,24,0.8185
194016,24,0.8233
195000,24,0.8359
196000,24,0.8653
